sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,20.0521,14.2233,-1.0549,4.69521,19.5945,14.7091,-1.31227,4.80732,0.251606,0.319813,0.532877,0.459387
R,19.9962,14.4573,-1.18121,4.66331,19.5272,14.918,-1.44113,4.76134,0.25437,0.321344,0.531061,0.457425
L,19.934,14.6897,-1.30687,4.62805,19.4521,15.155,-1.56355,4.72256,0.257267,0.3229,0.529257,0.455483
R,19.8655,14.9202,-1.43177,4.58944,19.4294,15.3133,-1.6358,4.67358,0.259372,0.323583,0.527277,0.45355
L,19.7908,15.1486,-1.55581,4.54751,19.3446,15.5458,-1.75511,4.63009,0.261572,0.324295,0.525308,0.451639
R,19.7099,15.3749,-1.67887,4.50226,19.2436,15.7331,-2.0039,4.52714,0.264016,0.324602,0.523909,0.449694
L,19.6229,15.5989,-1.80085,4.45372,19.1403,15.9579,-2.12806,4.47012,0.266644,0.324912,0.522542,0.447771
R,19.5298,15.8203,-1.92164,4.40193,19.0957,16.1188,-2.21412,4.40747,0.268502,0.324698,0.521019,0.44587
L,19.4307,16.039,-2.04114,4.3469,18.982,16.3375,-2.33495,4.34467,0.270517,0.324486,0.519524,0.443992
R,19.3257,16.2549,-2.15925,4.28868,18.8941,16.5285,-2.40906,4.29142,0.272253,0.324094,0.517857,0.442139
L,19.2148,16.4679,-2.27586,4.22731,18.7708,16.7413,-2.52475,4.22439,0.274113,0.323708,0.516209,0.440308
R,19.0981,16.6777,-2.39087,4.16284,18.6892,16.912,-2.62702,4.14814,0.275487,0.323076,0.514533,0.438502
L,18.9757,16.8841,-2.50418,4.0953,18.555,17.1175,-2.73963,4.07464,0.276975,0.322447,0.512877,0.43672
R,18.8477,17.0872,-2.61571,4.02476,18.4172,17.3179,-2.92698,3.95322,0.278552,0.321812,0.511569,0.435002
L,18.7142,17.2866,-2.72534,3.95127,18.2681,17.5133,-3.03924,3.86758,0.280289,0.321163,0.510291,0.433324
R,18.5752,17.4822,-2.83299,3.87489,18.2035,17.6934,-3.02697,3.85382,0.281132,0.320439,0.508556,0.431605
L,18.4309,17.674,-2.93858,3.79568,18.0495,17.8839,-3.13097,3.76981,0.282061,0.319718,0.506838,0.429908
R,18.2814,17.8617,-3.042,3.71372,17.9289,18.0518,-3.18032,3.71216,0.28268,0.318909,0.505002,0.428226
L,18.1268,18.0453,-3.14318,3.62906,17.7674,18.2352,-3.27814,3.62607,0.283354,0.31811,0.503181,0.426563
R,17.9671,18.2246,-3.24204,3.5418,17.6209,18.3515,-3.40144,3.4899,0.28389,0.31708,0.501437,0.424943
L,17.8026,18.3994,-3.3385,3.45199,17.4485,18.5235,-3.49583,3.39534,0.284492,0.316053,0.499708,0.423347
R,17.6334,18.5697,-3.43247,3.35973,17.4021,18.6809,-3.50545,3.35842,0.284126,0.315003,0.497853,0.421741
L,17.4595,18.7353,-3.5239,3.26509,17.2246,18.8464,-3.59439,3.26306,0.283788,0.313964,0.496015,0.420152
R,17.281,18.8962,-3.61271,3.16817,17.0744,18.9503,-3.68468,3.13502,0.28329,0.312825,0.4942,0.418591
L,17.0983,19.0521,-3.69883,3.06904,16.8881,19.1044,-3.76882,3.03335,0.282817,0.311697,0.492403,0.417049
R,16.9113,19.203,-3.78221,2.9678,16.7381,19.2934,-3.81448,2.98064,0.282166,0.310646,0.490597,0.415515
L,16.7201,19.3488,-3.86278,2.86455,16.5455,19.4398,-3.89294,2.87741,0.28153,0.309607,0.48881,0.413997
R,16.5251,19.4894,-3.9405,2.75938,16.3476,19.6143,-3.9749,2.78044,0.280915,0.308667,0.487045,0.412498
L,16.3262,19.6246,-4.01531,2.65237,16.1471,19.7506,-4.04816,2.67265,0.280315,0.30774,0.485298,0.411015
