sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,4.8363,19.015,-4.09432,-2.88305,10.633,16.5694,-5.31565,-0.729717,3.98318,4.28343,1.78167,2.35743
R,4.63297,18.8689,-4.04263,-2.96359,10.384,16.4776,-5.36033,-1.02244,3.99453,4.27566,1.77955,2.35543
L,4.43224,18.7188,-3.99012,-3.0422,10.116,16.4264,-5.36033,-1.02244,4.00523,4.26768,1.77765,2.3538
R,4.23416,18.5648,-3.93685,-3.11888,9.65832,16.4926,-5.48561,-1.00024,4.01392,4.25918,1.77653,2.35264
L,4.03876,18.4071,-3.88293,-3.19362,9.38404,16.4426,-5.48561,-1.00024,4.02196,4.25048,1.77568,2.35184
R,3.84606,18.2457,-3.82841,-3.26644,9.05384,16.4072,-5.55288,-1.52471,4.02896,4.24157,1.77542,2.3491
L,3.65611,18.0807,-3.77339,-3.33732,8.7762,16.3309,-5.55288,-1.52471,4.03531,4.23254,1.77544,2.34666
R,3.46891,17.9122,-3.71795,-3.40627,8.20099,16.4476,-5.71812,-1.41263,4.03917,4.22302,1.77666,2.345
L,3.28449,17.7402,-3.66215,-3.47331,7.91509,16.3769,-5.71812,-1.41263,4.04239,4.21341,1.77818,2.34364
R,3.10287,17.565,-3.60609,-3.53844,7.7049,16.2307,-5.67528,-1.80461,4.04541,4.20382,1.77977,2.34096
L,2.92405,17.3866,-3.54982,-3.60167,7.42113,16.1405,-5.67528,-1.80461,4.04781,4.19418,1.78168,2.33854
R,2.74805,17.2051,-3.49344,-3.66302,7.25729,15.9329,-5.63709,-2.14876,4.05025,4.18465,1.78367,2.33514
L,2.57486,17.0205,-3.437,-3.72251,6.97544,15.8255,-5.63709,-2.14876,4.05207,4.17508,1.78598,2.33197
R,2.4045,16.833,-3.38059,-3.78014,6.37997,15.8827,-5.81517,-1.96575,4.05169,4.16527,1.78977,2.32969
L,2.23695,16.6427,-3.32428,-3.83595,6.08921,15.7844,-5.81517,-1.96575,4.05073,4.15543,1.7939,2.32765
R,2.07221,16.4497,-3.26812,-3.88995,5.94113,15.5581,-5.78264,-2.01768,4.04986,4.1457,1.79814,2.32564
L,1.91027,16.254,-3.21219,-3.94216,5.652,15.4572,-5.78264,-2.01768,4.04841,4.13595,1.80271,2.32385
R,1.75112,16.0557,-3.15656,-3.99261,5.22736,15.4058,-5.8515,-2.13006,4.04583,4.12615,1.8081,2.32183
L,1.59474,15.8549,-3.10129,-4.04132,4.93478,15.2993,-5.8515,-2.13006,4.04272,4.11635,1.81383,2.32002
R,1.44111,15.6517,-3.04644,-4.08832,5.05482,14.9742,-5.58186,-2.58091,4.04077,4.10671,1.81798,2.3168
L,1.29021,15.4463,-2.99207,-4.13364,4.77573,14.8451,-5.58186,-2.58091,4.03829,4.09709,1.82246,2.31374
R,1.14201,15.2386,-2.93825,-4.1773,4.32961,14.7726,-5.66389,-2.68857,4.03466,4.08745,1.82781,2.31051
L,0.996486,15.0288,-2.88503,-4.21933,4.04642,14.6382,-5.66389,-2.68857,4.03057,4.07784,1.83348,2.30744
R,0.853604,14.8169,-2.83246,-4.25977,3.57663,14.5789,-5.75,-2.7189,4.02539,4.06824,1.8401,2.30442
L,0.71333,14.603,-2.78061,-4.29864,3.28913,14.443,-5.75,-2.7189,4.01981,4.0587,1.84701,2.30155
R,0.575628,14.3872,-2.72952,-4.33598,3.48685,14.1108,-5.40152,-3.10118,4.01534,4.04925,1.85172,2.29772
L,0.440459,14.1696,-2.67925,-4.37181,3.21677,13.9558,-5.40152,-3.10118,4.01047,4.03985,1.85672,2.29401
R,0.307779,13.9502,-2.62984,-4.40617,2.9696,13.7291,-5.34481,-3.55807,4.00527,4.03051,1.8616,2.28942
