sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,9.35258,20.9607,-4.82714,-0.899977,9.42012,20.9073,-4.6929,-0.398924,0.0838505,0.124589,0.645039,0.680836
R,9.11177,20.9128,-4.80919,-1.01362,9.18167,20.8644,-4.78485,-0.658318,0.0837752,0.124278,0.643142,0.679377
L,8.87192,20.8594,-4.78881,-1.12605,8.85385,20.851,-5.01361,-0.60009,0.0835413,0.123915,0.641489,0.678581
R,8.63315,20.8003,-4.76608,-1.2372,8.59385,20.7828,-5.09625,-0.857784,0.083352,0.123562,0.640117,0.677223
L,8.39557,20.7358,-4.74108,-1.34701,8.31717,20.6999,-5.13688,-0.929843,0.0833242,0.123234,0.638973,0.676008
R,8.1593,20.6657,-4.71387,-1.45542,8.05477,20.6248,-5.20357,-1.15264,0.0834615,0.122919,0.638215,0.674453
L,7.92445,20.5903,-4.68453,-1.56237,7.839,20.5372,-5.08092,-1.21875,0.083473,0.122633,0.637094,0.673025
R,7.69111,20.5096,-4.65313,-1.66781,7.58568,20.4584,-5.15275,-1.48023,0.0836139,0.122345,0.636397,0.671259
L,7.45939,20.4237,-4.61975,-1.7717,7.27078,20.3975,-5.30244,-1.44467,0.0845741,0.122015,0.636668,0.669811
R,7.22939,20.3326,-4.58448,-1.87399,7.00169,20.3057,-5.33282,-1.56329,0.0860456,0.121688,0.63735,0.668333
L,7.00119,20.2364,-4.54738,-1.97462,6.76923,20.2138,-5.24127,-1.59495,0.0875391,0.121359,0.63768,0.667067
R,6.7749,20.1352,-4.50854,-2.07357,6.50771,20.1265,-5.26383,-1.69645,0.0895385,0.121024,0.638393,0.665805
L,6.55059,20.0292,-4.46805,-2.17079,6.30285,20.0265,-5.1098,-1.73416,0.0911698,0.120689,0.638411,0.664756
R,6.32834,19.9183,-4.42598,-2.26625,6.05131,19.937,-5.13872,-1.88122,0.0932091,0.120365,0.638843,0.663542
L,6.10823,19.8027,-4.38241,-2.35993,5.82141,19.8363,-5.06734,-1.89747,0.0953415,0.120061,0.639104,0.662609
R,5.89034,19.6824,-4.33744,-2.45178,5.56121,19.6916,-5.13434,-2.23324,0.098129,0.119736,0.640067,0.661002
